Date,Month,Day_of_Year,Soil_Type,Soil_Texture,Soil_Structure,Soil_Depth_cm,Sand_%,Clay_%,Bulk_Density_g_cm3,Soil_Compaction_kPa,pH,Organic_Matter_%,Nitrogen_%,Phosphorus_mg_kg,Potassium_mg_kg,Moisture_Content_%,Irrigation_Applied_mm,precipitation_mm,avg_temp_C,solarradiation_W/m2,cloudcover%,Heat_Stress_Days (HSD),Frost_Days (FD),Temp_Shock (TS),Tuber_Yield_Potential_kg_ha,Yield (Production-Hector M. Ton)
2016-05-03,5,124,Loamy,Sandy,Granular,2.621.311,6.141.399.614,2.198.528.411,1.404.612.513,2.337.980.721,631.114.146,4.185.687.872,0.395517435,3.970.784.148,2.368.008.586,2.925.921.699,3.162.992.184,17.6,27.4,215.9,79.5,1,0,1,4.978.460.756,1095760
2016-05-04,5,125,Silt Loam,Clayey,Blocky,2.621.311,5.114.545.206,1.845.884.214,1.534.833.706,1.561.318.944,6.212.981.325,5.445.220.947,0.334632203,4.222.934.598,2.088.713.004,2.884.315.641,1.643.510.074,20.7,28.5,212.7,74.7,1,0,1,4.432.284.729,1095760
2016-05-05,5,126,Sandy Loam,Clayey,Platy,2.621.311,5.294.711.197,2.040.663.771,1.405.574.397,2.866.597.524,6.862.496.592,2.055.193.717,0.147335436,320.713.591,1.266.967.615,1.772.878.902,193.053.856,12.7,28.3,222.8,70.0,1,0,1,3.785.470.973,1095760
2016-05-06,5,127,Clay Loam,Sandy,Massive,2.621.311,5.291.916.089,2.341.239.272,1.348.903.502,2.485.835.479,693.182.529,456.021.027,0.29237438,3.645.220.143,1.135.441.045,1.441.317.255,1.625.221.751,7.1,27.9,260.7,67.3,1,0,1,4.421.937.313,1095760
2016-05-07,5,128,Loamy,Silty,Massive,2.621.311,6.662.149.991,2.045.712.201,1.555.237.327,1.761.239.072,5.030.298.497,4.087.704.349,0.211109127,4.175.483.305,1.076.318.461,2.382.721.861,1.588.134.549,2.8,26.6,216.2,70.0,1,0,1,3.623.744.343,1095760
2016-05-08,5,129,Loamy,Sandy,Massive,2.621.311,590.254.607,1.854.995.009,1.261.768.184,2.376.856.685,5.094.569.613,5.270.060.466,0.179532149,3.129.420.676,139.068.702,2.858.362.144,1.868.258.014,2.0,28.4,266.0,68.9,1,0,1,3.703.470.412,1095760
2016-05-09,5,130,Clay Loam,Sandy,Platy,2.621.311,5.536.535.036,1.959.133.288,1.309.880.765,1.037.004.705,6.193.900.242,3.661.627.484,0.104939105,1.907.508.041,1.505.669.632,1.123.985.858,1.895.466.111,2.1,29.4,274.8,65.3,1,0,1,3.251.249.397,1095760
2016-05-10,5,131,Sandy Loam,Clayey,Platy,2.621.311,6.647.941.724,2.373.308.744,1.533.877.854,1.579.389.441,7.165.890.999,2.793.660.671,0.325615245,3.848.816.844,1.526.069.805,1.599.904.173,1.302.606.409,0.2,30.3,212.3,63.9,1,0,1,3.296.218.496,1095760
2016-05-11,5,132,Clay Loam,Silty,Blocky,2.621.311,636.987.728,177.275.997,1.213.474.956,2.835.663.052,5.537.515.887,3.786.820.979,0.269662529,3.076.618.124,1.011.316.405,1.573.751.001,1.792.282.639,0.1,31.0,299.1,49.1,1,0,1,2.410.856.749,1095760
2016-05-12,5,133,Sandy Loam,Silty,Platy,2.621.311,6.442.619.956,2.457.292.861,1.274.796.295,1.644.102.396,5.358.941.911,3.647.293.159,0.107577844,1.551.624.079,1.254.440.104,2.988.492.385,3.813.750.714,0.6,29.2,254.4,60.5,1,0,1,4.785.958.906,1095760
2016-05-13,5,134,Sandy Loam,Clayey,Massive,2.621.311,5.604.426.522,2.311.046.435,1.493.105.612,1.139.631.925,7.332.905.629,4.587.556.165,0.254915813,44.221.335,107.889.048,1.558.537.312,8.335.322.256,44.1,25.7,92.6,77.6,1,0,1,3.511.150.715,1095760
2016-05-14,5,135,Clay Loam,Silty,Blocky,2.621.311,5.937.087.864,1.852.771.421,1.354.699.433,1.323.137.883,7.227.780.851,5.748.709.819,0.308324836,1.886.429.931,2.478.785.871,2.752.521.059,1.030.226.139,8.8,27.9,231.3,72.4,1,0,1,363.618.185,1095760
2016-05-15,5,136,Sandy Loam,Silty,Platy,2.621.311,5.245.912.245,2.133.766.899,1.363.366.929,2.952.499.941,5.671.685.689,3.149.751.791,0.302107442,4.353.612.009,1.552.213.095,1.006.238.914,1.967.354.173,0.6,30.2,216.2,81.0,1,0,1,3.477.838.167,1095760
2016-05-16,5,137,Loamy,Clayey,Granular,2.621.311,6.616.130.047,2.337.756.674,1.389.060.588,2.800.532.588,7.100.712.476,4.068.621.348,0.278013278,4.175.740.283,2.040.097.829,2.029.253.994,1.749.802.163,14.8,31.0,201.3,79.8,1,0,1,364.760.462,1095760
2016-05-17,5,138,Loamy,Silty,Massive,2.621.311,6.917.314.022,1.978.524.854,1.225.233.105,1.961.078.913,6.892.525.339,3.098.421.434,0.130443817,3.077.045.257,188.335.188,1.438.002.075,4.040.095.414,2.3,31.0,229.8,76.2,1,0,1,3.735.059.583,1095760
2016-05-18,5,139,Loamy,Loamy,Granular,2.621.311,6.600.670.989,1.860.609.287,1.549.232.216,2.990.355.984,7.488.477.605,4.010.009.795,0.164446897,1.558.376.162,2.160.206.866,2.828.963.014,4.598.983.535,8.7,28.9,225.6,87.3,1,0,1,2.593.304.113,1095760
2016-05-19,5,140,Loamy,Clayey,Platy,2.621.311,5.997.803.907,1.724.869.433,1.214.996.101,2.655.248.883,5.408.435.926,5.606.708.086,0.369013321,1.789.409.073,2.223.623.069,281.710.662,19.045.801,11.3,27.2,121.8,84.0,0,0,0,4.339.118.932,1095760
2016-05-20,5,141,Silt Loam,Sandy,Platy,2.621.311,5.532.007.247,1.835.478.582,1.385.622.291,202.098.593,7.243.484.056,2.982.888.655,0.111377592,2.474.372.474,1.592.523.829,1.914.299.989,0.716401554,6.3,26.6,91.6,91.2,0,0,0,4.276.490.671,1095760
2016-05-21,5,142,Loamy,Loamy,Blocky,2.621.311,6.271.220.184,2.051.975.193,1.497.901.884,279.002.607,5.142.450.885,5.695.718.555,0.342906848,293.177.648,170.434.566,1.576.952.379,1.407.889.258,93.0,24.9,31.7,96.8,0,0,0,4.776.507.021,1095760
2016-05-22,5,143,Loamy,Loamy,Platy,2.621.311,6.868.586.344,1.947.585.202,1.400.044.426,1.749.701.705,6.682.661.616,4.959.024.663,0.19619332,4.180.032.269,1.013.836.146,2.196.757.086,2.417.940.961,1.4,28.2,223.5,86.7,1,0,1,4.469.095.876,1095760
2016-05-23,5,144,Loamy,Silty,Platy,2.621.311,6.513.968.533,2.397.846.549,1.283.207.566,2.973.418.529,6.672.894.512,4.770.072.697,0.200011154,2.640.402.908,1.989.854.907,1.161.094.415,9.625.721.771,3.9,30.6,214.4,65.9,1,0,1,25.557.611,1095760
2016-05-24,5,145,Loamy,Silty,Platy,2.621.311,6.919.018.051,2.403.255.182,1.508.752.788,1.317.900.893,7.289.234.874,5.125.900.112,0.260834701,3.891.253.662,1.335.376.027,2.996.512.634,1.344.126.142,8.2,28.6,250.1,67.5,1,0,1,294.870.687,1095760
2016-05-25,5,146,Silt Loam,Clayey,Blocky,2.621.311,6.304.012.999,2.348.453.947,1.226.218.504,2.951.847.712,556.968.881,3.947.685.985,0.272255155,1.582.460.044,1.557.368.166,2.538.161.993,8.500.328.506,42.6,27.5,203.6,77.4,1,0,1,4.925.928.427,1095760
2016-05-26,5,147,Sandy Loam,Sandy,Granular,2.621.311,5.367.299.685,1.547.959.608,1.513.687.761,1.231.504.039,5.429.081.012,2.425.677.217,0.221252724,3.059.269.139,179.473.674,2.891.683.901,480.594.343,2.8,28.3,221.8,61.0,1,0,1,307.209.595,1095760
2016-05-27,5,148,Loamy,Sandy,Platy,2.621.311,6.498.015.738,1.712.937.765,132.061.396,1.413.863.826,6.283.778.496,5.953.605.266,0.277707458,1.823.353.325,165.976.262,1.065.321.376,467.109.968,8.2,28.2,226.5,82.2,1,0,1,4.234.896.822,1095760
2016-05-28,5,149,Loamy,Loamy,Platy,2.621.311,680.841.089,1.683.743.852,1.293.739.739,2.424.878.486,7.381.429.355,2.774.722.105,0.397931531,4.203.621.748,1.896.191.454,1.771.002.788,1.222.426.039,26.9,26.6,75.5,90.7,0,0,0,330.309.293,1095760
2016-05-29,5,150,Sandy Loam,Sandy,Blocky,2.621.311,576.787.333,1.590.109.937,1.568.352.483,2.475.514.368,5.697.165.049,2.774.497.618,0.206825293,3.221.570.061,2.439.155.194,2.647.881.738,1.400.124.579,6.6,27.9,211.5,75.2,1,0,1,2.041.919.156,1095760
2016-05-30,5,151,Sandy Loam,Silty,Massive,2.621.311,5.785.284.559,2.046.006.612,1.552.719.819,1.655.536.951,6.991.662.387,3.874.246.719,0.262259496,2.139.849.134,2.126.815.101,2.301.098.777,1.151.260.605,6.1,28.8,251.9,60.1,1,0,1,4.481.217.235,1095760
2016-05-31,5,152,Sandy Loam,Clayey,Platy,2.621.311,5.270.796.093,1.764.802.078,1.296.082.654,2.267.477.748,5.799.855.381,3.350.447.127,0.228660309,3.138.663.489,2.319.408.084,2.687.544.894,1.272.660.089,6.3,28.3,226.5,85.0,1,0,1,278.661.282,1095760
2016-11-01,11,306,Silt Loam,Sandy,Massive,236.385,5.507.456.479,2.208.068.621,1.530.556.151,2.434.862.137,5.500.926.802,2.677.202.966,0.299443957,3.335.037.041,1.574.867.268,1.924.096.387,4.949.138.525,1.0,29.0,189.1,48.0,1,0,1,31.109.972,1219265
2016-11-02,11,307,Clay Loam,Loamy,Blocky,236.385,5.911.044.723,2.257.087.233,1.497.669.328,123.017.295,6.099.013.328,276.007.632,0.133373418,3.863.834.856,1.910.211.114,1.434.149.737,1.614.113.529,3.2,29.4,193.1,20.5,1,0,1,2.714.995.142,1219265
2016-11-03,11,308,Clay Loam,Loamy,Massive,236.385,5.316.834.991,2.422.632.364,1.256.453.279,1.337.843.817,7.265.111.246,4.947.400.089,0.18101131,3.249.287.767,1.872.461.961,261.007.465,7.529.653.757,0.3,29.1,166.1,53.7,1,0,1,4.324.425.943,1219265
2016-11-04,11,309,Silt Loam,Silty,Massive,236.385,6.038.149.895,2.159.013.384,128.563.626,2.446.250.181,6.988.568.329,1.850.427.632,0.211517283,2.796.717.123,1.904.955.745,1.232.674.667,1.893.350.472,11.9,25.9,35.6,91.5,0,0,0,310.176.066,1219265
2016-11-05,11,310,Sandy Loam,Sandy,Granular,236.385,6.166.306.092,1.932.395.915,1.574.334.856,2.491.144.751,5.095.305.623,5.541.854.724,0.353670556,2.749.466.967,1.089.640.466,2.266.133.953,0.088041641,10.1,24.0,28.1,98.4,0,0,0,2.836.582.582,1219265
2016-11-06,11,311,Loamy,Clayey,Massive,236.385,6.455.511.831,1.577.357.992,1.234.255.945,1.460.657.999,6.221.265.417,3.274.651.532,0.209958302,4.389.306.118,2.220.335.772,1.689.310.788,1.996.705.657,30.2,23.0,71.3,92.8,0,0,0,3.994.355.089,1219265
2016-11-07,11,312,Sandy Loam,Loamy,Blocky,236.385,5.725.684.749,2.412.109.728,1.449.244.877,1.244.711.673,6.312.865.345,488.851.133,0.293309339,425.177.879,1.550.810.352,179.473.781,1.117.418.036,0.1,24.3,135.5,83.7,0,0,0,2.031.641.688,1219265
2016-11-08,11,313,Loamy,Clayey,Platy,236.385,6.145.832.619,1.741.046.383,1.371.355.587,1.719.403.771,7.088.208.007,2.195.748.614,0.370531218,4.496.075.373,2.374.103.294,2.561.340.117,0.250036547,0.5,25.2,167.4,44.9,0,0,0,3.328.654.642,1219265
2016-11-09,11,314,Silt Loam,Clayey,Blocky,236.385,6.802.558.129,1.652.984.618,1.231.975.645,2.571.125.543,6.492.413.031,5.049.780.734,0.307715469,3.571.118.722,1.277.712.812,2.749.438.142,5.435.944.811,0.0,25.8,175.3,34.8,0,0,0,4.898.967.896,1219265
2016-11-10,11,315,Clay Loam,Loamy,Granular,236.385,586.618.814,1.922.947.717,130.830.879,1.215.269.611,5.164.811.134,2.644.595.877,0.145639874,359.367.071,1.867.073.083,2.165.119.676,1.656.129.837,0.0,25.4,200.5,42.7,0,0,0,2.868.713.466,1219265
2016-11-11,11,316,Silt Loam,Sandy,Blocky,236.385,5.156.559.281,2.461.913.705,1.427.081.513,2.151.156.761,6.049.327.111,1.511.099.972,0.304248354,4.315.944.662,1.897.888.374,2.198.364.859,1.225.721.882,0.0,25.0,191.5,36.4,0,0,0,3.243.429.363,1219265
2016-11-12,11,317,Clay Loam,Clayey,Granular,236.385,5.422.213.684,2.248.560.465,1.502.818.563,13.914.829,6.650.500.932,4.997.101.779,0.207517228,2.232.531.962,1.041.248.134,1.891.251.502,1.131.068.695,0.0,25.2,159.4,30.3,0,0,0,3.994.116.299,1219265
2016-11-13,11,318,Sandy Loam,Loamy,Platy,236.385,522.877.198,2.224.762.485,1.480.639.353,133.424.901,7.470.086.108,4.156.343.904,0.180481601,2.766.958.156,1.286.146.741,1.782.394.188,1.139.839.755,0.0,25.3,184.7,11.5,0,0,0,474.355.414,1219265
2016-11-14,11,319,Sandy Loam,Clayey,Blocky,236.385,5.756.705.653,2.096.043.923,1.469.058.741,1.380.312.136,5.960.210.754,4.521.553.685,0.365417354,1.918.569.125,1.722.832.072,2.357.861.249,1.156.549.912,0.0,25.6,194.5,2.6,0,0,0,3.834.286.154,1219265
2016-11-15,11,320,Silt Loam,Sandy,Blocky,236.385,6.704.068.271,1.992.540.443,1.587.365.664,1.214.893.021,7.461.483.151,4.193.817.709,0.101416698,1.501.731.043,1.895.031.776,1.415.730.237,2.417.963.362,0.0,24.8,197.4,14.8,0,0,0,3.882.186.646,1219265
2016-11-16,11,321,Sandy Loam,Loamy,Blocky,236.385,520.175.232,1.777.441.619,1.439.229.911,2.253.394.903,6.372.152.131,254.543.321,0.308370182,2.022.728.185,11.316.277,1.163.966.528,6.432.451.522,0.0,25.2,193.4,20.5,0,0,0,222.990.841,1219265
2016-11-17,11,322,Sandy Loam,Loamy,Platy,236.385,6.711.615.306,2.163.275.394,1.429.188.222,2.230.527.093,6.159.385.129,298.097.052,0.298179924,3.180.563.681,1.464.009.522,2.272.722.945,4.516.130.975,0.0,24.9,197.1,0.0,0,0,0,2.817.539.708,1219265
2016-11-18,11,323,Silt Loam,Loamy,Massive,236.385,6.230.637.764,2.241.055.572,1.545.215.046,1.645.408.098,603.858.502,1.533.362.628,0.297795218,4.293.766.832,1.812.230.489,2.238.568.252,1.602.619.322,0.0,24.4,193.8,0.0,0,0,0,4.179.992.552,1219265
2016-11-19,11,324,Loamy,Clayey,Platy,236.385,6.916.645.806,1.508.194.952,1.293.720.947,2.093.639.453,6.448.348.651,5.604.368.921,0.236096285,1.643.177.686,2.018.156.732,2.411.572.612,1.107.456.478,0.0,24.0,195.0,0.1,0,0,0,4.565.512.552,1219265
2016-11-20,11,325,Sandy Loam,Silty,Platy,236.385,6.934.264.782,2.300.589.135,1.251.918.735,2.983.009.939,607.134.133,3.474.896.207,0.372049013,4.093.752.599,2.254.250.416,2.648.163.517,1.306.187.359,0.0,24.0,190.5,24.5,0,0,0,3.273.811.603,1219265
2016-11-21,11,326,Loamy,Clayey,Massive,236.385,6.690.228.883,2.110.868.978,1.521.332.931,1.953.203.928,5.958.688.984,2.256.362.088,0.218777176,1.837.656.262,2.140.418.811,2.285.867.486,1.253.419.318,0.0,23.8,186.3,10.3,0,0,0,3.444.652.186,1219265
2016-11-22,11,327,Sandy Loam,Clayey,Massive,236.385,6.169.426.237,1.750.156.462,132.074.231,2.766.681.832,744.542.249,1.501.906.065,0.101823373,2.190.898.276,2.173.145.202,1.097.269.103,1.093.015.768,0.0,23.5,187.9,18.6,0,0,0,2.824.477.764,1219265
2016-11-23,11,328,Loamy,Clayey,Platy,236.385,5.511.684.028,2.358.712.008,1.355.409.422,1.510.809.566,623.627.084,5.033.344.212,0.245817107,2.402.136.427,1.420.689.595,1.582.884.005,1.140.356.544,0.0,23.3,188.6,19.8,0,0,0,2.909.128.834,1219265
2016-11-24,11,329,Silt Loam,Silty,Massive,236.385,522.801.805,2.098.228.674,142.144.557,1.092.975.445,6.950.471.647,3.046.837.843,0.314039997,3.544.083.821,1.484.129.327,1.384.114.795,1.333.980.464,0.0,23.8,188.5,13.6,0,0,0,3.562.295.703,1219265
2016-11-25,11,330,Loamy,Clayey,Massive,236.385,5.681.457.558,1.522.185.326,1.581.089.204,2.212.872.943,6.265.745.909,2.779.937.798,0.2976398,285.600.523,1.942.984.846,138.362.765,6.573.377.996,0.0,23.4,169.8,38.4,0,0,0,2.389.025.147,1219265
2016-11-26,11,331,Sandy Loam,Loamy,Massive,236.385,6.655.845.974,2.143.305.017,1.417.922.566,1.889.542.394,5.579.828.923,3.891.737.354,0.251017766,2.748.964.854,1.260.362.916,2.089.076.567,1.824.844.742,0.0,24.0,174.2,10.8,0,0,0,3.161.136.883,1219265
2016-11-27,11,332,Sandy Loam,Clayey,Platy,236.385,5.038.310.894,2.144.986.889,1.257.457.709,149.085.296,7.370.920.153,3.716.521.882,0.358213622,3.914.834.563,2.363.366.648,2.229.828.833,3.427.752.573,0.0,24.1,172.9,18.8,0,0,0,2.758.806.722,1219265
2016-11-28,11,333,Silt Loam,Clayey,Platy,236.385,6.956.155.501,2.234.080.932,1.594.819.452,2.983.537.262,7.203.267.482,4.284.971.871,0.355365236,4.096.139.063,2.087.055.655,2.642.173.448,4.012.148.328,0.1,24.0,151.9,38.6,0,0,0,4.589.557.649,1219265
2016-11-29,11,334,Silt Loam,Sandy,Massive,236.385,6.403.755.252,2.143.801.442,1.279.470.566,2.284.851.855,5.354.833.488,1.518.956.156,0.34429104,4.189.723.023,1.086.837.484,1.236.176.126,185.364.882,0.0,24.0,169.2,18.1,0,0,0,4.631.702.232,1219265
2016-11-30,11,335,Clay Loam,Clayey,Platy,236.385,5.773.885.999,1.544.360.518,1.378.169.156,1.964.379.355,7.212.455.794,314.189.416,0.234204342,3.925.059.029,212.632.227,2.059.227.146,2.082.402.626,0.0,24.0,178.9,10.3,0,0,0,3.002.073.683,1219265
2016-12-01,12,336,Sandy Loam,Silty,Massive,236.385,5.316.427.712,2.416.451.149,1.220.452.547,2.697.366.937,5.492.534.928,5.885.619.549,0.290239843,4.416.619.346,1.784.201.279,1.386.294.066,674.920.159,0.0,24.2,167.9,8.6,0,0,0,3.052.472.113,1219265
2016-12-02,12,337,Silt Loam,Clayey,Massive,236.385,688.497.996,1.560.488.161,12.821.259,2.280.048.978,6.421.533.324,2.432.422.524,0.342395693,1.884.622.241,2.408.703.598,177.472.805,1.835.055.727,0.0,24.2,180.7,19.4,0,0,0,2.457.997.441,1219265
2016-12-03,12,338,Sandy Loam,Clayey,Blocky,236.385,5.272.113.037,195.453.374,1.391.374.787,1.572.941.327,7.327.538.107,2.976.688.687,0.12101623,4.494.303.435,1.756.641.693,244.076.655,1.068.679.667,0.0,24.3,180.3,5.1,0,0,0,3.455.075.575,1219265
2016-12-04,12,339,Loamy,Silty,Blocky,236.385,6.752.341.854,1.801.990.864,1.403.669.378,1.167.048.326,6.411.232.927,2.013.294.011,0.12818881,4.157.188.165,1.864.145.201,2.006.876.399,1.181.745.967,0.0,24.2,182.4,0.0,0,0,0,3.990.547.966,1219265
2016-12-05,12,340,Silt Loam,Loamy,Massive,236.385,6.313.484.011,210.853.134,1.220.008.831,1.035.818.494,5.529.071.268,3.751.801.711,0.23996005,355.121.158,225.888.345,2.999.541.207,1.851.709.466,0.0,22.8,184.4,17.6,0,0,0,2.631.303.434,1219265
2016-12-06,12,341,Loamy,Clayey,Platy,236.385,5.487.749.158,1.510.941.463,1.428.622.734,2.662.446.585,566.238.488,3.303.025.079,0.108576361,3.706.007.421,2.379.442.162,2.634.495.541,1.428.146.991,0.0,22.8,183.8,9.1,0,0,0,2.613.618.707,1219265
2016-12-07,12,342,Sandy Loam,Clayey,Granular,236.385,5.939.111.882,2.280.166.346,151.240.893,1.185.643.178,6.696.426.905,3.319.725.323,0.232794011,2.296.748.368,2.337.085.038,1.558.641.128,1.823.009.212,0.0,23.2,186.7,8.0,0,0,0,2.496.135.096,1219265
2016-12-08,12,343,Loamy,Loamy,Massive,236.385,5.298.052.331,166.903.861,1.202.462.636,247.917.898,6.867.599.122,339.687.809,0.166251732,3.172.337.607,1.846.702.589,2.171.719.124,7.163.009.997,0.0,23.3,187.0,0.0,0,0,0,4.455.600.503,1219265
2016-12-09,12,344,Silt Loam,Loamy,Platy,236.385,5.672.234.877,1.938.515.187,1.252.127.546,218.687.763,6.479.380.589,4.659.425.904,0.308580697,208.647.049,193.995.607,2.101.523.369,108.771.878,0.0,22.7,184.2,1.2,0,0,0,3.128.187.552,1219265
2016-12-10,12,345,Silt Loam,Sandy,Massive,236.385,598.801.122,1.782.321.244,1.456.837.216,2.841.071.822,570.356.446,3.533.609.186,0.268350114,3.743.908.221,1.001.956.844,2.763.920.961,9.090.712.582,0.0,21.3,182.3,1.2,0,0,0,4.392.639.917,1219265
2016-12-11,12,346,Clay Loam,Loamy,Platy,236.385,5.450.627.848,2.063.558.167,1.457.132.583,1.242.419.469,5.466.927.007,2.672.613.679,0.303217112,4.051.600.706,1.857.840.961,1.516.568.963,7.618.378.017,0.0,21.6,182.5,9.0,0,0,0,3.106.813.454,1219265
2016-12-12,12,347,Loamy,Silty,Blocky,236.385,6.403.406.792,248.059.527,1.508.068.762,1.327.873.934,6.636.616.558,3.719.024.982,0.215300312,1.901.417.847,1.277.962.606,1.103.194.256,9.039.041.002,0.0,21.5,182.8,2.5,0,0,0,2.770.492.579,1219265
2016-12-13,12,348,Silt Loam,Loamy,Blocky,236.385,6.879.536.104,2.269.665.803,1.507.242.566,1.711.234.171,5.573.328.135,5.755.600.376,0.182937374,1.908.844.927,1.872.076.424,277.919.187,192.957.956,0.0,21.1,179.5,0.0,0,0,0,2.332.902.744,1219265
2016-12-14,12,349,Loamy,Loamy,Blocky,236.385,6.349.413.629,237.399.082,1.360.432.118,1.436.917.164,5.406.947.407,3.620.252.613,0.18153498,3.109.464.706,2.483.526.035,1.806.683,1.797.388.778,0.0,20.1,162.1,9.3,0,0,0,316.718.519,1219265
2016-12-15,12,350,Silt Loam,Loamy,Massive,236.385,5.067.232.716,2.379.430.379,1.275.385.233,2.779.957.463,532.785.319,2.125.552.639,0.223814873,3.481.427.645,1.518.736.508,2.772.489.874,1.088.437.456,0.0,20.1,148.9,14.3,0,0,0,2.357.829.154,1219265
2016-12-16,12,351,Clay Loam,Sandy,Massive,236.385,545.586.042,2.477.691.524,1.538.141.803,2.670.153.725,684.711.144,5.205.531.728,0.211898096,3.981.257.382,2.091.521.475,1.612.437.788,9.008.264.586,0.0,20.3,178.3,8.1,0,0,0,2.949.619.489,1219265
2016-12-17,12,352,Clay Loam,Loamy,Granular,236.385,683.678.997,2.152.597.946,1.419.144.851,126.133.762,6.779.778.902,5.628.654.927,0.323559235,3.344.425.693,1.721.991.461,2.125.377.566,7.786.699.254,0.0,21.3,146.5,43.2,0,0,0,2.642.779.053,1219265
2016-12-18,12,353,Clay Loam,Loamy,Granular,236.385,5.357.066.612,2.018.617.533,1.590.696.877,2.012.571.035,7.318.686.278,3.032.205.772,0.157750282,3.793.782.818,2.028.329.126,1.924.964.878,6.414.577.467,0.0,21.8,135.7,32.5,0,0,0,2.272.692.294,1219265
2016-12-19,12,354,Sandy Loam,Clayey,Granular,236.385,5.481.033.523,1.632.981.381,1.332.830.522,2.645.679.492,5.654.281.505,1.599.313.173,0.205599822,2.292.272.039,2.257.449.467,2.063.997.407,9.019.942.535,0.0,21.7,128.9,27.8,0,0,0,2.494.091.201,1219265
2016-12-20,12,355,Loamy,Sandy,Platy,236.385,5.223.142.521,2.212.852.503,155.672.957,2.690.214.402,6.473.636.459,5.125.676.852,0.106392366,2.590.246.533,2.073.474.338,2.626.170.038,1.674.257.378,0.0,21.3,101.1,28.8,0,0,0,3.721.844.623,1219265
2016-12-21,12,356,Silt Loam,Sandy,Platy,236.385,5.134.005.277,1.940.482.272,1.352.463.722,1.319.356.795,729.904.074,2.962.955.306,0.28643269,3.958.724.438,1.422.995.764,1.717.558.418,8.671.640.896,0.0,21.3,165.2,10.7,0,0,0,4.871.518.613,1219265
2016-12-22,12,357,Clay Loam,Loamy,Platy,236.385,5.456.754.674,1.749.945.011,1.476.947.427,2.627.851.142,5.558.763.789,3.964.829.572,0.385105178,3.502.519.822,2.280.816.027,1.486.861.778,1.536.765.109,0.0,21.2,161.0,23.7,0,0,0,2.483.519.609,1219265
2016-12-23,12,358,Silt Loam,Loamy,Blocky,236.385,6.952.721.419,201.028.429,132.769.227,1.151.881.229,6.134.922.325,5.030.869.789,0.333468313,2.076.349.748,2.467.966.125,1.277.679.783,1.139.794.271,0.0,22.5,141.9,45.9,0,0,0,3.103.763.151,1219265
2016-12-24,12,359,Sandy Loam,Clayey,Granular,236.385,5.218.936.203,2.136.588.372,153.514.071,2.225.765.602,7.414.544.008,3.645.592.439,0.386235927,4.287.875.317,2.366.682.586,1.675.288.199,6.168.423.641,0.1,22.3,127.7,13.1,0,0,0,3.226.425.253,1219265
2016-12-25,12,360,Clay Loam,Silty,Platy,236.385,614.415.333,2.339.408.904,1.217.385.847,1.765.862.648,7.387.205.976,2.815.792.641,0.271766875,4.481.511.717,1.895.189.304,2.305.711.903,313.372.911,0.0,23.0,147.0,15.8,0,0,0,4.314.834.171,1219265
2016-12-26,12,361,Silt Loam,Clayey,Platy,236.385,5.998.893.992,1.879.246.087,1.229.537.583,1.446.109.576,6.278.965.374,5.354.820.353,0.100684834,3.169.704.855,2.325.154.857,2.213.164.448,586.193.472,0.0,23.0,160.4,23.4,0,0,0,4.416.334.777,1219265
2016-12-27,12,362,Clay Loam,Silty,Blocky,236.385,6.916.174.561,1.627.880.499,1.282.562.219,1.168.092.669,6.121.672.176,565.386.565,0.134053595,3.843.978.502,1.236.634.005,2.037.489.228,8.173.363.517,0.2,21.9,173.7,14.9,0,0,0,4.111.200.147,1219265
2016-12-28,12,363,Silt Loam,Loamy,Blocky,236.385,6.581.838.803,1.872.125.302,1.242.737.112,1.816.412.471,7.362.067.153,4.726.238.319,0.184730823,4.356.551.556,1.294.702.905,2.434.433.286,6.450.904.121,0.0,20.5,173.5,19.7,0,0,0,2.724.975.846,1219265
2016-12-29,12,364,Silt Loam,Sandy,Platy,236.385,556.500.289,1.998.764.056,134.279.174,1.587.124.236,6.498.641.582,1.554.436.658,0.129377997,3.712.772.857,1.385.886.246,1.730.358.233,5.868.992.955,0.0,20.7,174.3,21.2,0,0,0,2.107.412.273,1219265
2016-12-30,12,365,Clay Loam,Silty,Granular,236.385,5.055.592.912,2.412.378.998,1.525.697.676,1.901.907.341,5.617.353.327,1.694.139.866,0.224418729,3.346.714.562,2.157.527.452,1.949.071.413,5.789.607.049,0.0,20.9,169.4,27.9,0,0,0,2.420.017.816,1219265
2016-12-31,12,366,Clay Loam,Loamy,Blocky,236.385,5.290.994.317,1.589.104.843,1.403.471.629,2.366.423.808,6.293.316.739,4.099.756.037,0.240078593,2.207.569.565,1.361.497.348,1.053.648.596,133.234.893,0.0,20.1,157.6,15.7,0,0,0,2.798.041.279,1219265
2017-01-01,1,1,Sandy Loam,Clayey,Platy,236.385,629.852.602,1.643.229.897,1.388.536.762,1.280.550.618,6.431.382.564,4.991.110.085,0.162985539,3.989.711.005,2.080.498.897,1.593.962.122,4.903.262.691,0.0,20.5,169.5,16.5,0,0,0,3.963.133.098,1219265
2017-01-02,1,2,Sandy Loam,Loamy,Blocky,236.385,6.475.068.899,2.386.990.425,1.278.139.546,1.024.677.099,6.380.729.624,2.136.459.282,0.242990213,2.254.190.752,2.255.348.065,1.216.568.797,1.082.457.743,0.0,20.9,180.1,16.8,0,0,0,4.663.663.203,1219265
